2026 공간풀숲 전시 정성자료,,,,,,,,,,,,,,,,,,,
,전시명,유형,내용,출처,기간,,,,,,,,,,,,,,
83,"사라지기 전에: 현진오, 멸종위기식물 40년 기록",언론 평가,"이번 전시는 아름다운 식물을 감상하는 데서 멈추지 않는다. ‘사라지는 생명’을 단순히 슬퍼하는 전시가 아니라, 사라짐을 외면하지 않기 위해 우리가 무엇을 기억해야 하는지 묻는 자리이다. 기록은 멸종을 단숨에 막을 수는 없지만, 멸종을 당연하게 여기지 않도록 만들고, 결국 보호와 변화의 출발점이 되기 때문이다. 현진오 박사의 40년 기록은 개인의 집요한 관찰을 넘어, 한국 식물 보전의 역사이자 미래를 위한 증거이다. 관람자는 이 전시를 통해 우리가 지키고자 하는 자연이 무엇인지, 그리고 사라지기 전에 해야 할 일이 무엇인지 다시 생각하게 될 것이다. ","시민언론 민들레 
최연하 기자",26.03.24,,,,,,,,,,,,,,
84,"사라지기 전에: 현진오, 멸종위기식물 40년 기록",언론 평가,"이 전시는 멸종위기 식물을 40여 년간 기록해 온 현진오 박사의 사진, 영상, 저술을 통해 한국 식물 보전의 현재와 미래를 조명하기 위해 기획되었으며, 전시가 열린 23일간 1,000여 명의 관람객이 다녀가는 등 큰 주목을 받았다.","시사타임즈
우경헌 기자",26.04.08,,,,,,,,,,,,,,
85,"사라지기 전에: 현진오, 멸종위기식물 40년 기록",언론 평가,"천천히 걸으면서 식물의 얼굴과 글을 보다 보면 사라지는 생명들을 오래 바라본 한 사람의 시간, 너무 늦기 전에 우리가 알아야 할 존재에 관한 이야기가 전해진다. ","뉴스펭귄
곽은영 기자 ",26.03.24,,,,,,,,,,,,,,
86,"사라지기 전에: 현진오, 멸종위기식물 40년 기록",언론 평가,이번 전시는 사라진 것들에 대한 장례식에 가깝기도 하다. 오랜 시간 애정을 안고 들여다본 세계가 누군가의 무심한 손길 하나로 사라질 수 있다는 것을 보여준다. 도로공사를 하다 발견된 ‘털복주머니난’도 기사화되고 난 후 누군가가 트럭을 몰고 와서 수백 뿌리를 모두 캐갔다. 인간의 탐욕은 늘 상상 이상이었다. ,"뉴스펭귄
곽은영 기자 ",26.03.24,,,,,,,,,,,,,,
87,"사라지기 전에: 현진오, 멸종위기식물 40년 기록",언론 평가,이 전시는 생태계의 뿌리이자 기반인 식물의 멸종위기 현실을 이해할 수 있는 기회다.,"동아일보 
김선미 기자",26.03.16,,,,,,,,,,,,,,
88,흐르지 않는 강: 김원의 4대강 기록,언론 평가,"이 전시는 정책 평가나 정치적 논쟁을 넘어, 4대강 사업이 남긴 환경적 흔적과 사회적 기억을 환기한다.",소셜임팩트뉴스,26.04.09,,,,,,,,,,,,,,
89,흐르지 않는 강: 김원의 4대강 기록,언론 평가,"태고의 아름다움을 간직한 강변 풍경부터 공사로 인해 강이 심각하게 훼손되는 과정, 공사를 저지하는 시민사회단체 활동가들의 모습, 금빛 모래가 특별히 아름다웠던 내성천 인근 마을이 4대강 사업의 여파로 텅 비어가는 모습 등을 낱낱이 보여준다.","시민언론 민들레 
최연하 기자",26.04.15,,,,,,,,,,,,,,
1,마음의 기후,관람객 후기,"천개의 숨 파아란 꿈꾸는 세상, 가까이 해야 보이는 많은 존재들 감상 잘 하고 갑니다.",방명록,26.02.04 - 26.02.28,,,,,,,,,,,,,,
2,마음의 기후,관람객 후기,마음 담아 있는 작품 보고 갑니다. ,방명록,26.02.04 - 26.02.28,,,,,,,,,,,,,,
3,마음의 기후,관람객 후기,선생님 멋진 작품이세요,방명록,26.02.04 - 26.02.28,,,,,,,,,,,,,,
